Nome,Versão,Nota,Posição Primaria,Posição Secundaria,Valor,Variação de Preço P+ou-,Liga,País,Clube,Skills,Perna Ruim,Tendencia ATK/DEF,Ritmo,Chute,Passe,Drible,Defesa,Fisico
Heung Min Son,Versus Fire,90,ST,"RM,CF,RW",1310000,4.38%,Premier League,Korea Republic,Spurs,4,5,H \ M,91,92,84,86,46,76
Marcus Rashford,Versus Ice,90,ST,CF,1570000,3.15%,Premier League,England,Manchester Utd,5,3,H \ L,93,93,82,89,54,82
Marcus Rashford,Versus Fire,90,RW,"RM,LW",1880000,5.95%,Premier League,England,Manchester Utd,5,3,H \ M,94,91,85,91,50,82
Granit Xhaka,TOTY Honourable Ment,90,CM,CDM,0,,Bundesliga,Switzerland,Leverkusen,3,3,M \ M,81,83,93,83,84,89
Sonia Bompastor,Hero,89,LB,"LWB,LM",199000,5.95%,D1 Arkema,France,HERO,4,3,H \ H,90,85,88,89,85,77
Paulo Futre,Hero,89,LW,"LM,RW,ST",540000,,Liga Portugal,Portugal,HERO,5,3,H \ L,94,83,82,94,38,60
Jari Litmanen,Hero,89,CAM,CM,46750,7.43%,Eredivisie,Finland,HERO,4,4,H \ M,84,88,85,84,36,67
Rui Costa,Hero,89,CAM,,55500,2.63%,Serie A TIM,Portugal,HERO,4,4,M \ M,85,82,89,87,45,80
Vincent Kompany,Hero,89,CB,,689000,0.86%,Premier League,Belgium,HERO,2,3,M \ H,81,61,70,72,91,87
Steve McManaman,Hero,89,RM,"LM,CAM,RW",108000,,LALIGA EA SPORTS,England,HERO,4,4,H \ M,91,80,86,89,48,80
Vinícius Júnior,normal,89,LW,LM,262000,,LALIGA EA SPORTS,Brazil,Real Madrid,5,4,H \ H,95,82,78,90,29,68
Virgil van Dijk,normal,89,CB,,75000,,Premier League,Holland,Liverpool,2,3,M \ H,78,60,71,72,89,86
Mohamed Salah,normal,89,RW,RM,35500,1.39%,Premier League,Egypt,Liverpool,4,3,H \ M,89,87,81,88,45,76
Kadidiatou Diani,normal,89,RW,"RM,ST",36500,,D1 Arkema,France,OL,4,4,H \ H,89,85,83,88,56,77
María Pilar León Cebrián,normal,89,CB,,36000,,Liga F,Spain,FC Barcelona,2,3,H \ H,75,74,81,76,90,81
Rúben Dias,normal,89,CB,,35250,0.70%,Premier League,Portugal,Manchester City,2,4,M \ H,62,39,66,69,89,87
Rodri,normal,89,CDM,CM,36750,0.68%,Premier League,Spain,Manchester City,3,4,M \ H,58,73,80,80,85,84
Neymar Jr,normal,89,LW,LM,37000,,ROSHN Saudi League,Brazil,Al Hilal,5,5,H \ M,86,83,85,93,37,61
Alex Morgan,normal,89,ST,CF,35750,0.69%,NWSL,United States,San Diego Wave,4,5,H \ M,83,89,80,88,47,77
ter Stegen,normal,89,GK,,35750,,LALIGA EA SPORTS,Germany,FC Barcelona,1,4,M \ M,86,85,89,91,47,86
Alisson,normal,89,GK,,35250,2.08%,Premier League,Brazil,Liverpool,1,3,M \ M,86,85,85,89,56,90
Ada Hegerberg,normal,89,ST,CF,35000,2.08%,D1 Arkema,Norway,OL,4,4,H \ M,75,89,77,86,39,76
Casemiro,normal,89,CDM,,36000,2.08%,Premier League,Brazil,Manchester Utd,2,3,M \ H,63,75,79,73,89,88
Kenny Dalglish,Icon,89,ST,CF,380000,,Icons,Scotland,EA FC ICONS,4,5,H \ M,89,90,75,88,41,72
Javier Zanetti,Icon,89,RB,"RWB,LB,CM",114000,5.00%,Icons,Argentina,EA FC ICONS,2,4,H \ H,83,60,84,81,86,78
Alessandro Nesta,Icon,89,CB,,100000,,Icons,Italy,EA FC ICONS,2,3,M \ H,76,44,63,68,92,84
Hugo Sánchez,Icon,89,ST,CF,78500,,Icons,Mexico,EA FC ICONS,3,4,H \ M,89,90,78,88,41,72
Alan Shearer,Icon,89,ST,CF,67500,,Icons,England,EA FC ICONS,3,3,H \ M,82,91,76,78,49,84
Kaká,Icon,89,CAM,,357000,,Icons,Brazil,EA FC ICONS,5,4,H \ M,89,84,86,90,43,71
Samuel Eto'o,Icon,89,ST,CF,566000,2.25%,Icons,Cameroon,EA FC ICONS,4,4,H \ L,92,90,79,87,45,80
Didier Drogba,Icon,89,ST,CF,175000,,Icons,Côte d'Ivoire,EA FC ICONS,4,4,H \ H,87,90,74,80,44,87
Ruud van Nistelrooy,Icon,89,ST,CF,67500,,Icons,Holland,EA FC ICONS,3,3,H \ L,84,89,71,83,38,80
Éric Cantona,Icon,89,CF,ST,357000,,Icons,France,EA FC ICONS,5,4,H \ M,86,89,86,89,50,88
Sócrates,Icon,89,CAM,,177000,,Icons,Brazil,EA FC ICONS,4,5,H \ M,82,88,89,88,43,82
Philipp Lahm,Icon,89,RB,"RWB,LB,CDM",142000,2.07%,Icons,Germany,EA FC ICONS,3,3,H \ H,84,68,83,83,86,70
Gary Lineker,Icon,89,ST,CF,67500,2.07%,Icons,England,EA FC ICONS,3,4,H \ L,86,89,71,84,40,75
Hristo Stoichkov,Icon,89,ST,"CF,RW,LW",272000,8.42%,Icons,Bulgaria,EA FC ICONS,4,3,M \ M,90,91,84,90,49,84
Smith,Icon,89,ST,CF,92500,3.65%,Icons,England,EA FC ICONS,4,4,H \ M,88,90,84,89,46,77
Fabio Cannavaro,Icon,89,CB,,176000,,Icons,Italy,EA FC ICONS,2,3,L \ H,80,44,62,67,93,83
Jairzinho,Icon,89,RW,"RM,ST",998000,,Icons,Brazil,EA FC ICONS,5,4,H \ H,91,89,84,90,49,73
Carles Puyol Saforcada,Icon,89,CB,RB,88500,,Icons,Spain,EA FC ICONS,2,3,M \ H,72,46,66,59,91,88
Emilio Butragueño,Icon,89,ST,CF,399000,3.16%,Icons,Spain,EA FC ICONS,3,5,M \ L,92,89,78,90,40,65
Peter Schmeichel,Icon,89,GK,,175000,,Icons,Denmark,EA FC ICONS,1,3,M \ M,89,84,86,91,47,87
Luís Figo,Icon,89,RW,"RM,CAM",180000,2.70%,Icons,Portugal,EA FC ICONS,4,4,H \ L,89,84,86,90,38,77
Morientes,Hero,89,ST,CF,37000,2.63%,LALIGA EA SPORTS,Spain,HERO,4,4,H \ M,84,90,77,83,45,86
Rudi Völler,Hero,89,ST,CF,86000,0.58%,Bundesliga,Germany,HERO,3,4,H \ M,89,90,76,86,47,85
Jean-Pierre Papin,Hero,89,ST,CF,36500,1.35%,Ligue 1 Uber Eats,France,HERO,3,4,H \ M,83,93,73,83,44,76
Abedi Pelé,Hero,89,CAM,"LM,CF",161000,2.42%,Ligue 1 Uber Eats,Ghana,HERO,4,4,M \ M,91,83,87,91,48,66
David Ginola,Hero,89,LM,"CAM,ST,LW",970000,1.62%,Ligue 1 Uber Eats,France,HERO,5,5,H \ M,90,88,87,91,55,84
Gianluca Vialli,Hero,89,ST,CF,36250,,Serie A TIM,Italy,HERO,3,4,H \ M,86,89,72,83,42,79
Jürgen Kohler,Hero,89,CB,,36250,3.97%,Bundesliga,Germany,HERO,2,3,M \ H,71,51,63,62,91,90
Lucimar da Silva Ferreira,Hero,89,CB,,555000,3.97%,Serie A TIM,Brazil,HERO,3,3,M \ H,82,72,74,77,91,89
Virgil van Dijk,Nike,89,CB,,213000,,Premier League,Holland,Liverpool,2,3,M \ H,78,60,71,72,89,86
Luis Díaz,Europa League,89,LW,LM,477000,,Premier League,Colombia,Liverpool,4,4,H \ M,95,86,83,92,42,81
João Pedro,Europa League,89,ST,"CAM,CF",281000,3.44%,Premier League,Brazil,Brighton,4,4,H \ M,93,88,80,92,43,78
Mario Götze,Conference League,89,CAM,"LM,CF",39000,,Bundesliga,Germany,Frankfurt,4,4,M \ M,83,83,90,91,60,79
Federico Valverde,IF,89,CM,RW,339000,,LALIGA EA SPORTS,Uruguay,Real Madrid,3,4,H \ H,89,83,86,85,82,83
Heung Min Son,PL POTM SBC,89,ST,"LM,CF,LW",1050000,,Premier League,Korea Republic,Spurs,4,5,H \ M,89,91,84,86,44,73
Antoine Griezmann,Trailblazers,89,ST,CF,231000,4.15%,LALIGA EA SPORTS,France,Atlético de Madrid,4,3,H \ H,82,90,88,90,59,76
Bruno Fernandes,IF,89,CAM,CM,63000,,Premier League,Portugal,Manchester Utd,4,3,H \ H,73,87,91,85,70,78
Heung Min Son,Trailblazers,89,ST,"LM,CF,LW",544000,4.39%,Premier League,Korea Republic,Spurs,4,5,H \ M,89,92,83,86,44,74
Sophia Smith,Trailblazers,89,ST,"CF,RW",215000,,NWSL,United States,Portland Timbers-Thorns,4,5,H \ M,94,86,79,89,46,83
Antoine Griezmann,IF,89,ST,CF,115000,3.36%,LALIGA EA SPORTS,France,Atlético de Madrid,4,3,H \ H,81,89,89,89,59,77
Pedri,FUT Centurions,89,CM,,108000,0.92%,LALIGA EA SPORTS,Spain,FC Barcelona,4,4,H \ H,82,73,85,91,74,78
Grace Geyoro,FUT Centurions,89,CM,CDM,130000,0.92%,D1 Arkema,France,Paris SG,3,3,H \ H,80,76,85,86,86,82
Ronald Koeman,Squad Found. C.L.,89,CB,,87000,,Icons,Holland,EA FC ICONS,3,3,H \ M,77,87,86,80,89,86
Wayne Rooney,Squad Found. C.L.,89,ST,"CAM,CF",410000,6.61%,Icons,England,EA FC ICONS,3,4,H \ H,89,91,82,87,54,88
Wendie Renard,IF,89,CB,,52500,5.41%,D1 Arkema,France,OL,2,3,H \ M,70,68,70,70,92,85
Jamal Musiala,FUT Centurions,89,CAM,"CM,LM",172000,,Bundesliga,Germany,FC Bayern München,5,4,M \ M,88,80,81,93,66,64
Ashley Cole,Squad Found. C.L.,89,LB,LWB,540000,12.20%,Icons,England,EA FC ICONS,3,2,H \ M,90,68,83,84,87,81
Lautaro Martínez,SBC,89,ST,CF,83700,12.20%,Serie A TIM,Argentina,Inter,4,4,H \ M,84,89,74,87,50,87
Diego Forlán,Triple Threat Hero S,89,ST,"CF,LW",553200,12.20%,LALIGA EA SPORTS,Uruguay,HERO,4,4,H \ H,87,91,81,86,56,78
Sadio Mané,FC Pro,89,CF,"RM,LM,ST",221000,,ROSHN Saudi League,Senegal,Al Nassr,4,4,H \ M,91,86,82,91,47,80
Manuel Locatelli,FC Pro,89,CDM,"CB,CM",138000,6.76%,Serie A TIM,Italy,Juventus,3,4,M \ H,81,78,86,84,88,89
Florian Thauvin,FC Pro,89,RM,"LM,RW",84000,5.62%,Serie A TIM,France,Udinese,4,3,H \ M,92,89,88,91,63,82
Branco van den Boomen,FC Pro SBC,89,CM,"CDM,CAM",36250,5.62%,Eredivisie,Holland,Ajax,3,4,H \ M,81,89,92,87,83,89
Frenkie de Jong,Thunderstruck,89,CM,,329300,,LALIGA EA SPORTS,Holland,FC Barcelona,4,4,H \ M,85,72,88,90,82,81
Paul Scholes,Thunderstruck Icon,89,CM,CAM,86000,3.37%,Icons,England,EA FC ICONS,3,4,H \ M,76,87,90,79,64,81
Robert Pirès,Thunderstruck Icon,89,LM,"RM,CAM,LW",110000,,Icons,France,EA FC ICONS,4,4,M \ M,89,82,86,88,41,67
Xabi Alonso,Thunderstruck Icon,89,CDM,CM,92500,2.63%,Icons,Spain,EA FC ICONS,3,4,H \ H,75,79,88,81,84,83
Antoine Griezmann,LaLiga POTM SBC,89,ST,CF,399950,2.63%,LALIGA EA SPORTS,France,Atlético de Madrid,4,3,H \ H,82,90,90,89,59,77
N'Golo Kanté,Radioactive,89,CDM,CM,318000,1.85%,ROSHN Saudi League,France,Al Ittihad,2,3,M \ H,80,68,76,82,89,80
Paulo Dybala,SBC,89,ST,"CAM,CF",54600,1.85%,Serie A TIM,Argentina,Roma FC,4,3,H \ L,86,90,89,93,43,63
Rivaldo,Dynasties ICON,89,LW,"LM,CAM,CF",175000,11.17%,Icons,Brazil,EA FC ICONS,4,2,H \ L,89,86,85,93,40,78
Juan Sebastián Verón,Dynasties ICON,89,CM,CAM,78000,3.70%,Icons,Argentina,EA FC ICONS,3,4,M \ M,81,83,89,84,80,83
Patrick Kluivert,Dynasties ICON,89,ST,CF,74000,6.33%,Icons,Holland,EA FC ICONS,4,4,H \ L,91,88,80,83,42,81
Gheorghe Hagi,Dynasties ICON,89,CAM,"CM,LM",86000,,Icons,Romania,EA FC ICONS,4,4,M \ L,84,87,89,89,42,66
Florian Wirtz,Dynasties,89,CAM,CM,99500,,Bundesliga,Germany,Leverkusen,4,4,H \ M,82,84,88,90,58,70
Heung Min Son,SIF,89,LW,LM,320000,4.48%,Premier League,Korea Republic,Spurs,4,5,H \ M,89,91,84,86,45,73
Nicolò Barella,UCL TOTGS,89,CM,,315000,3.37%,Serie A TIM,Italy,Inter,3,3,H \ H,83,82,85,88,83,85
Luis Alberto,UCL TOTGS,89,CM,,0,,Serie A TIM,Spain,Latium,4,4,M \ M,81,85,90,90,70,66
João Cancelo,UCL TOTGS,89,RB,"RWB,LB",255000,8.93%,LALIGA EA SPORTS,Portugal,FC Barcelona,4,4,H \ H,86,77,89,88,84,76
Jude Bellingham,UCL TOTGS,89,CAM,CM,646000,0.62%,LALIGA EA SPORTS,England,Real Madrid,4,4,H \ H,80,81,82,88,82,85
Virgil van Dijk,UEFA EURO,89,CB,,265000,1.49%,Premier League,Holland,Liverpool,2,3,M \ H,78,61,75,73,87,84
Victor Osimhen,IF,89,ST,CF,71500,,Serie A TIM,Nigeria,Napoli FC,3,4,H \ M,91,87,68,85,43,83
Gabriel Martinelli,Winter Wildcards SBC,89,RW,"RM,LW",649850,,Premier League,Brazil,Arsenal,5,4,H \ H,92,83,82,90,49,75
Ruud Gullit,Winter Wildcard ICON,89,CM,"CB,CDM,CF",2670000,0.29%,Icons,Holland,EA FC ICONS,4,5,H \ H,83,82,86,85,85,80
Paulo Dybala,Winter Wildcards,89,CF,"CAM,ST",209000,,Serie A TIM,Argentina,Roma FC,4,4,H \ L,85,91,89,92,44,64
Marco Reus,Winter Wildcards,89,CAM,CF,35750,4.03%,Bundesliga,Germany,Borussia Dortmund,4,4,M \ M,82,87,87,90,58,69
Michael Owen,Winter Wildcard ICON,89,LM,"RM,LW",66500,5.00%,Icons,England,EA FC ICONS,3,4,M \ M,90,82,77,90,36,68
Fernando Torres,Winter Wildcard ICON,89,ST,CF,628000,0.79%,Icons,Spain,EA FC ICONS,5,4,H \ M,91,89,77,87,45,78
Domenico Berardi,Winter Wildcards,89,RW,RM,66000,5.71%,Serie A TIM,Italy,Sassuolo,4,4,H \ M,88,89,88,91,40,79
Riquelme,Winter Wildcard ICON,89,ST,CF,38750,1.90%,Icons,Argentina,EA FC ICONS,5,5,H \ L,82,89,80,86,34,74
John Barnes,Winter Wildcard ICON,89,CF,ST,47250,,Icons,England,EA FC ICONS,4,4,H \ M,87,90,87,87,47,88
Débora C. de Oliveira,Winter Wildcards,89,CAM,RM,87000,13.00%,NWSL,Brazil,KC Current,5,5,H \ M,85,82,88,92,48,70
Jules Koundé,Winter Wildcards,89,CDM,CM,170000,,LALIGA EA SPORTS,France,FC Barcelona,3,3,M \ H,84,60,80,76,87,82
Davor Šuker,Winter Wildcard ICON,89,LW,LM,90800,,Icons,Croatia,EA FC ICONS,4,4,H \ M,90,85,81,89,45,77
John Stones,Winter Wildcards SBC,89,CDM,CM,184050,,Premier League,England,Manchester City,3,4,M \ H,80,57,84,85,89,82
Marta Vieira da Silva,Versus Ice,89,CAM,"CF,ST",151000,,NWSL,Brazil,Orlando Pride,5,4,H \ M,81,88,90,91,50,80
Marta Vieira da Silva,Versus Fire,89,RW,RM,225000,5.06%,NWSL,Brazil,Orlando Pride,5,4,H \ M,85,88,89,93,50,83
Lautaro Martínez,SIF,89,ST,CF,50500,,Serie A TIM,Argentina,Inter,4,4,H \ M,83,90,73,88,50,87
Wendie Renard,Versus Ice,89,CDM,CM,50000,,D1 Arkema,France,OL,3,4,H \ H,74,70,77,75,92,87
Wendie Renard,Versus Fire,89,CB,,75000,,D1 Arkema,France,OL,3,4,H \ H,75,70,71,75,93,85
Alphonso Davies,Flashback SBC,89,LB,"LWB,LM,LW",843650,,Bundesliga,Canada,FC Bayern München,5,4,H \ M,99,78,85,90,80,83
Dante,TOTY Honourable Ment,89,CB,,0,,Ligue 1 Uber Eats,Brazil,OGC Nice,3,4,L \ H,80,57,75,75,89,89
Alex Scott,Hero,88,RB,RWB,280000,1.06%,Barclays WSL,England,HERO,3,4,H \ M,89,73,83,82,87,83
Ludovic Giuly,Hero,88,RM,RW,98500,,LALIGA EA SPORTS,France,HERO,4,4,H \ M,90,85,85,88,51,60
Tomas Rosicky,Hero,88,CAM,"RM,CM",54000,,Bundesliga,Czech Republic,HERO,4,4,H \ M,85,83,88,90,60,73
Dimitar Berbatov,Hero,88,ST,CF,27750,9.76%,Bundesliga,Bulgaria,HERO,4,4,M \ L,83,87,82,88,35,75
Ederson,normal,88,GK,,21750,1.14%,Premier League,Brazil,Manchester City,1,3,M \ M,86,82,91,86,64,86
Bruno Fernandes,normal,88,CAM,CM,21250,2.30%,Premier League,Portugal,Manchester Utd,4,3,H \ H,71,86,90,83,69,77
Bernardo Silva,normal,88,CM,RW,21500,,Premier League,Portugal,Manchester City,4,3,H \ H,69,78,86,92,70,69
Guro Reiten,normal,88,LW,"LM,CAM",21750,,Barclays WSL,Norway,Chelsea,4,3,H \ M,88,80,86,86,60,63
Alexandra Popp,normal,88,ST,"LM,CF",21750,1.14%,GPFBL,Germany,VfL Wolfsburg,3,5,H \ H,73,87,76,82,52,88
Débora C. de Oliveira,normal,88,CAM,RM,24250,,NWSL,Brazil,KC Current,5,5,H \ M,84,81,87,91,46,68
Marie Katoto,normal,88,ST,CF,21750,1.14%,D1 Arkema,France,Paris SG,4,4,H \ M,83,88,77,84,39,71
Patricia Guijarro Gutiérrez,normal,88,CM,CDM,22000,1.12%,Liga F,Spain,FC Barcelona,4,4,H \ M,78,82,83,86,81,72
Irene Paredes Hernández,normal,88,CB,,21750,1.12%,Liga F,Spain,FC Barcelona,2,3,M \ H,69,51,67,68,89,80
Federico Valverde,normal,88,CM,RW,31000,,LALIGA EA SPORTS,Uruguay,Real Madrid,3,4,H \ H,88,82,84,84,80,82
Antoine Griezmann,normal,88,ST,CF,21500,,LALIGA EA SPORTS,France,Atlético de Madrid,4,3,H \ H,80,88,87,88,58,75
Jan Oblak,normal,88,GK,,21000,3.45%,LALIGA EA SPORTS,Slovenia,Atlético de Madrid,1,3,M \ M,85,90,78,87,46,86
Joshua Kimmich,normal,88,CDM,"RB,CM",21250,1.16%,Bundesliga,Germany,FC Bayern München,3,4,H \ M,70,74,88,84,82,79
Sophia Smith,normal,88,ST,"CF,RW",24250,,NWSL,United States,Portland Timbers-Thorns,4,5,H \ M,93,85,78,88,45,82
Wendie Renard,normal,88,CB,,21500,,D1 Arkema,France,OL,2,3,H \ M,53,67,69,69,91,84
Christiane Endler,normal,88,GK,,21500,2.27%,D1 Arkema,Chile,OL,1,3,M \ M,87,82,84,90,42,89
Victor Osimhen,normal,88,ST,CF,22000,,Serie A TIM,Nigeria,Napoli FC,3,4,H \ M,90,86,66,83,42,82
Franck Ribéry,Icon,88,LM,LW,555000,,Icons,France,EA FC ICONS,5,5,H \ L,89,85,85,90,37,65
Riquelme,Icon,88,CAM,,66500,,Icons,Argentina,EA FC ICONS,5,4,M \ L,71,84,90,90,33,66
Michael Laudrup,Icon,88,CAM,LW,66500,0.75%,Icons,Denmark,EA FC ICONS,4,4,M \ M,84,80,88,90,40,63
Fernando Hierro Ruiz,Icon,88,CB,,66500,5.00%,Icons,Spain,EA FC ICONS,2,3,M \ H,74,67,74,68,92,84
Andriy Shevchenko,Icon,88,ST,"CF,RW",70000,,Icons,Ukraine,EA FC ICONS,3,4,H \ H,86,90,71,85,35,73
Steven Gerrard,Icon,88,CM,CDM,150000,5.66%,Icons,England,EA FC ICONS,3,3,H \ M,78,88,88,83,75,82
Ronald Koeman,Icon,88,CB,,66500,5.66%,Icons,Holland,EA FC ICONS,3,3,H \ M,76,86,85,78,88,84
Paul Scholes,Icon,88,CM,CAM,66500,1.48%,Icons,England,EA FC ICONS,3,4,H \ M,74,86,89,78,62,80
Wayne Rooney,Icon,88,ST,"CAM,CF",161000,3.01%,Icons,England,EA FC ICONS,3,4,H \ H,88,90,81,86,53,87
Edwin van der Sar,Icon,88,GK,,248000,3.50%,Icons,Holland,EA FC ICONS,1,3,M \ M,84,87,79,86,39,92
Petr Cech,Icon,88,GK,,104000,,Icons,Czech Republic,EA FC ICONS,1,3,M \ M,86,85,76,88,54,90
Bastian Schweinsteiger,Icon,88,CM,LM,94000,,Icons,Germany,EA FC ICONS,3,3,H \ H,76,83,86,83,83,83
Michael Owen,Icon,88,ST,CF,69500,,Icons,England,EA FC ICONS,3,4,M \ M,89,88,69,87,35,66
Rio Ferdinand,Icon,88,CB,,505000,5.25%,Icons,England,EA FC ICONS,3,3,M \ M,82,48,65,64,90,85
David Beckham,Icon,88,RM,"CM,RW",145000,2.68%,Icons,England,EA FC ICONS,3,3,H \ H,80,85,92,85,66,79
Pavel Nedvěd,Icon,88,LM,"CAM,LW",68000,,Icons,Czech Republic,EA FC ICONS,4,5,H \ M,84,84,86,87,58,77
Laurent Blanc,Icon,88,CB,CAM,420000,,Icons,France,EA FC ICONS,2,3,M \ H,78,67,68,76,90,85
Patrick Vieira,Icon,88,CM,,1410000,4.80%,Icons,France,EA FC ICONS,3,3,M \ H,82,78,80,82,88,90
Robin van Persie,Icon,88,ST,CF,118000,,Icons,Holland,EA FC ICONS,4,4,H \ L,84,91,84,87,45,73
Marcel Desailly,Icon,88,CB,CDM,270000,,Icons,France,EA FC ICONS,2,3,M \ H,82,51,65,66,88,88
Miroslav Klose,Icon,88,ST,CF,66500,,Icons,Germany,EA FC ICONS,3,4,H \ M,86,87,73,80,40,79
Gheorghe Hagi,Icon,88,CAM,"CM,LM",70000,,Icons,Romania,EA FC ICONS,4,4,M \ L,82,86,88,88,41,64
Jay-Jay Okocha,Hero,88,CAM,"RM,ST",95000,,Premier League,Nigeria,HERO,5,4,M \ L,87,83,83,93,40,60
Ricardo Alberto Silveira Carvalho,Hero,88,CB,,28500,,Liga Portugal,Portugal,HERO,2,3,L \ H,77,56,71,73,91,82
Bixente Lizarazu,Hero,88,LWB,LB,37000,,Bundesliga,France,HERO,3,3,H \ H,87,59,80,82,83,82
Jari Litmanen,Hero,88,CAM,CM,24000,,Eredivisie,Finland,HERO,3,4,H \ M,82,87,83,83,35,65
Rafael Márquez,Hero,88,CB,CDM,27000,1.82%,LALIGA EA SPORTS,Mexico,HERO,3,3,M \ H,74,65,75,74,90,88
Antonio Di Natale,Hero,88,ST,"CF,LW",347000,,Serie A TIM,Italy,HERO,4,4,H \ L,90,91,85,90,46,70
Javier Mascherano,Hero,88,CB,CDM,27000,1.82%,LALIGA EA SPORTS,Argentina,HERO,3,3,L \ H,76,55,76,75,89,86
Mario Gomez,Hero,88,ST,CF,22000,,Bundesliga,Germany,HERO,3,4,H \ M,83,90,73,82,43,83
Paulo Futre,Hero,88,LW,"LM,RW,ST",137000,,LALIGA EA SPORTS,Portugal,HERO,4,3,H \ L,93,81,80,93,37,58
Nadine Keßler,Hero,88,CM,CAM,25000,,GPFBL,Germany,HERO,4,3,H \ M,81,85,88,86,78,77
Vincent Kompany,Hero,88,CB,,300000,,Premier League,Belgium,HERO,2,3,M \ H,80,60,68,70,90,86
Diego Milito,Hero,88,ST,CF,22250,3.26%,Serie A TIM,Argentina,HERO,3,4,H \ L,83,89,75,84,43,80
Diego Forlán,Hero,88,ST,"CF,LW",27250,,LALIGA EA SPORTS,Uruguay,HERO,4,4,H \ H,86,90,79,85,55,76
Wesley Sneijder,Hero,88,CAM,"CM,LM",50000,,Serie A TIM,Holland,HERO,4,5,M \ L,81,84,90,86,53,75
Carlos Tévez,Hero,88,ST,CF,70000,7.89%,Premier League,Argentina,HERO,4,3,H \ H,85,89,80,86,46,89
Heung Min Son,IF,88,ST,"LM,CF,LW",230000,,Premier League,Korea Republic,Spurs,4,5,H \ M,88,90,82,85,43,71
Leonardo Bonucci,Champions League,88,CB,,23500,,Bundesliga,Italy,Union Berlin,2,4,M \ H,75,63,75,76,88,81
De Paul,Champions League,88,CM,,120000,,LALIGA EA SPORTS,Argentina,Atlético de Madrid,4,3,H \ M,82,83,88,87,80,87
Loïs Openda,Champions League,88,ST,CF,209000,1.88%,Bundesliga,Belgium,RB Leipzig,3,4,H \ M,97,86,78,86,40,85
Martin Ødegaard,IF,88,CM,CAM,81500,,Premier League,Norway,Arsenal,5,2,H \ M,74,83,89,88,62,65
Lautaro Martínez,IF,88,ST,CF,49500,2.94%,Serie A TIM,Argentina,Inter,4,4,H \ M,82,88,72,86,49,86
Jonathan David,Conference League SB,88,ST,CF,161250,2.94%,Ligue 1 Uber Eats,Canada,LOSC Lille,3,5,H \ H,90,89,80,86,43,84
Ibrahim Cissoko,Europa League,88,LW,"LM,RW",61500,,Ligue 1 Uber Eats,Holland,Toulouse FC,4,4,M \ L,97,83,82,90,52,78
Houssem Aouar,Europa League,88,CAM,"CM,LM",21750,2.25%,Serie A TIM,Algeria,Roma FC,4,3,H \ L,82,81,89,92,80,80
Ángel Di María,Champions League,88,CF,"RM,RW,ST",29000,3.33%,Liga Portugal,Argentina,SL Benfica,5,3,H \ M,86,84,92,94,53,73
Marcos Acuña,Champions League,88,LB,"LWB,LM",45000,,LALIGA EA SPORTS,Argentina,Sevilla FC,4,3,H \ H,81,77,86,86,84,87
Diego Carlos,Conference League,88,CB,,144400,,Premier League,Brazil,Aston Villa,3,4,M \ H,79,56,75,76,89,86
Jude Bellingham,Trailblazers,88,CM,,400000,,LALIGA EA SPORTS,England,Real Madrid,4,4,H \ H,79,80,81,87,80,84
Cristiano Ronaldo,Trailblazers,88,ST,CF,315000,,ROSHN Saudi League,Portugal,Al Nassr,5,4,H \ L,85,90,77,84,35,75
Andrew Robertson,Trailblazers,88,LB,LWB,132000,0.75%,Premier League,Scotland,Liverpool,3,2,H \ H,86,63,84,83,83,80
João Cancelo,Trailblazers,88,RB,"RWB,LB,LWB",110000,,LALIGA EA SPORTS,Portugal,FC Barcelona,4,4,H \ L,85,75,88,87,83,74
Marquinhos,Trailblazers,88,CB,,202000,2.42%,Ligue 1 Uber Eats,Brazil,Paris SG,3,3,M \ H,80,57,76,76,90,81
Marcus Rashford,FUT Centurions,88,LW,"LM,ST",670000,2.42%,Premier League,England,Manchester Utd,5,3,H \ L,93,91,81,88,45,77
Jude Bellingham,LaLiga POTM SBC,88,CAM,CM,576450,2.42%,LALIGA EA SPORTS,England,Real Madrid,4,4,H \ H,78,79,81,87,81,84
Nemanja Vidic,Squad Found. C.L. SB,88,CB,,445700,2.42%,Icons,Serbia,EA FC ICONS,2,3,M \ H,79,50,64,63,91,90
Enzo Francescoli,Hero,88,CF,"CAM,ST",25500,,LPF,Uruguay,HERO,4,4,H \ L,86,88,83,90,44,72
David Trezeguet,Squad Found. C.L.,88,ST,CF,39750,2.45%,Icons,France,EA FC ICONS,4,4,M \ L,84,89,70,80,43,78
Claude Makélélé,Squad Found. C.L.,88,CDM,"RM,CM",430000,2.49%,Icons,France,EA FC ICONS,3,3,L \ H,82,50,77,80,87,87
Nicolò Barella,FUT Centurions SBC,88,CM,CDM,312150,,Serie A TIM,Italy,Inter,3,3,H \ H,82,80,84,87,81,84
Sakina Karchaoui,Triple Threat,88,LB,LWB,150000,,D1 Arkema,France,Paris SG,4,4,H \ M,91,63,84,90,82,70
Ashleigh Neville,Triple Threat,88,RB,"RWB,RM,LM",17050,,Barclays WSL,England,Spurs,3,4,H \ H,84,76,81,82,87,88
Jack Grealish,Triple Threat,88,LW,LM,39000,4.88%,Premier League,England,Manchester City,4,4,H \ H,85,80,87,91,56,76
Joe Cole,Triple Threat Hero,88,RW,"RM,CAM,LW",184000,,Premier League,England,HERO,4,4,H \ M,90,85,87,91,52,74
